id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.localite,zip_codes,geo.lat,geo.lon
MA007002,2,إقليم,Province,Berkane,Berkane,berkane,MA007002,,MA007,الجهة الشرقية,Oriental,,,17,,34.856,-2.474
MA007003,2,إقليم,Province,Driouch,Driouch,driouch,MA007003,,MA007,الجهة الشرقية,Oriental,,,26,,34.915,-3.544
MA007004,2,إقليم,Province,Figuig,Figuig,figuig,MA007004,,MA007,الجهة الشرقية,Oriental,,,16,,32.704,-2.627
MA007005,2,إقليم,Province,Guercif,Guercif,guercif,MA007005,,MA007,الجهة الشرقية,Oriental,,,10,,34.142,-3.451
MA007006,2,إقليم,Province,Jerada,Jerada,jerada,MA007006,,MA007,الجهة الشرقية,Oriental,,,17,,34.11,-2.061
MA007007,2,إقليم,Province,Nador,Nador,nador,MA007007,,MA007,الجهة الشرقية,Oriental,,,28,,35.052,-2.825
MA007008,2,إقليم,Province,Taourirt,Taourirt,taourirt,MA007008,,MA007,الجهة الشرقية,Oriental,,,15,,34.045,-2.796
MA008,1,جهة,Region,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,rabat-sale-kenitra-ma008,MA008,,,,,,7,115,,34.082,-6.329
MA008001,2,إقليم,Province,Skhirate Temara,Skhirate Temara,skhirate-temara,MA008001,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,9,,33.748,-6.879
MA008002,2,إقليم,Province,Rabat,Rabat,rabat,MA008002,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,0,,33.967,-6.843
MA008003,2,إقليم,Province,Sale,Sale,sale,MA008003,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,5,,33.974,-6.656
MA008004,2,إقليم,Province,Kenitra,Kenitra,kenitra,MA008004,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,22,,34.557,-6.356
MA008005,2,إقليم,Province,Khemisset,Khemisset,khemisset,MA008005,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,40,,33.666,-6.265
MA008006,2,إقليم,Province,Sidi Kacem,Sidi Kacem,sidi-kacem,MA008006,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,28,,34.48,-5.578
MA008007,2,إقليم,Province,Sidi Slimane,Sidi Slimane,sidi-slimane,MA008007,,MA008,الرباط - سلا -القنيطرة,Rabat Sale Kenitra,,,11,,34.287,-6.054
MA009,1,جهة,Region,سوس - ماسة,Souss Massa,souss-massa-ma009,MA009,,,,,,6,216,,29.739,-8.153
MA009001,2,إقليم,Province,Agadir Ida Outanane,Agadir Ida Outanane,agadir-ida-outanane,MA009001,,MA009,سوس - ماسة,Souss Massa,,,17,,30.644,-9.602
MA009002,2,إقليم,Province,Chtouka Ait Baha,Chtouka Ait Baha,chtouka-ait-baha,MA009002,,MA009,سوس - ماسة,Souss Massa,,,31,,30.008,-9.339
MA009003,2,إقليم,Province,Inezgane Ait Melloul,Inezgane Ait Melloul,inezgane-ait-melloul,MA009003,,MA009,سوس - ماسة,Souss Massa,,,4,,30.35,-9.45
MA009004,2,إقليم,Province,Taroudant,Taroudant,taroudant,MA009004,,MA009,سوس - ماسة,Souss Massa,,,98,,30.446,-8.497
MA009005,2,إقليم,Province,Tata,Tata,tata,MA009005,,MA009,سوس - ماسة,Souss Massa,,,21,,29.386,-8.048
MA009006,2,إقليم,Province,Tiznit,Tiznit,tiznit,MA009006,,MA009,سوس - ماسة,Souss Massa,,,45,,29.592,-9.348
MA010,1,جهة,Region,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,tangier-tetouan-al-hoceima-ma010,MA010,,,,,,8,169,,35.218,-5.435
MA010001,2,إقليم,Province,Al Hoceima,Al Hoceima,al-hoceima,MA010001,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,41,,34.966,-4.185
MA010002,2,إقليم,Province,Chefchaouen,Chefchaouen,chefchaouen,MA010002,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,36,,35.099,-5.009
MA010003,2,إقليم,Province,Fahs Anjra,Fahs Anjra,fahs-anjra,MA010003,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,10,,35.751,-5.603
MA010004,2,إقليم,Province,Larache,Larache,larache,MA010004,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,23,,35.196,-5.852
MA010005,2,إقليم,Province,M diq Fnideq,M diq Fnideq,m-diq-fnideq,MA010005,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,5,,35.76,-5.401
MA010006,2,إقليم,Province,Tangier Assilah,Tangier Assilah,tangier-assilah,MA010006,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,13,,35.561,-5.853
MA010007,2,إقليم,Province,Ouezzane,Ouezzane,ouezzane,MA010007,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,18,,34.779,-5.471
MA010008,2,إقليم,Province,Tetouan,Tetouan,tetouan,MA010008,,MA010,طنجة - تطوان - الحسيمة,Tangier Tetouan Al Hoceima,,,23,,35.451,-5.453
